week,n_posts,mean_score_posts,n_comments,mean_score_comments
2024-12-31,0.0,,1.0,0.1
2025-03-11,1.0,0.6,0.0,
2025-04-29,1.0,0.1,0.0,
2025-05-06,1.0,-0.8,22.0,-0.6818181818181818
2025-05-20,1.0,-0.6,3.0,0.3666666666666667
2025-05-27,1.0,0.1,0.0,
2025-06-03,1.0,-0.3,2.0,-0.5
2025-06-24,1.0,0.1,0.0,
2025-07-01,0.0,,2.0,0.04999999999999999
2025-07-15,1.0,-0.9,0.0,
2025-08-12,2.0,0.050000000000000044,24.0,-0.012500000000000011
2025-08-26,1.0,-0.7,93.0,-0.4537634408602148
2025-09-02,0.0,,24.0,-0.5166666666666666
2025-09-09,0.0,,5.0,-0.44000000000000006
2025-09-16,1.0,-0.9,201.0,-0.46318407960199043
2025-09-23,1.0,-0.5,0.0,
2025-09-30,0.0,,1.0,-0.8
2025-10-14,1.0,0.1,7.0,-0.42857142857142855
2025-10-21,1.0,-0.7,4.0,-0.35
2025-10-28,1.0,-0.8,21.0,-0.5476190476190477
2025-11-04,1.0,-0.8,7.0,-0.32857142857142857
2025-11-18,2.0,-0.4,8.0,-0.575
2025-11-25,1.0,0.3,38.0,-0.44473684210526304
2025-12-02,0.0,,1.0,0.1
2025-12-09,2.0,0.0,23.0,-0.27391304347826084
2025-12-16,1.0,0.1,0.0,
2025-12-23,1.0,0.7,23.0,-0.37391304347826093
2025-12-30,0.0,,2.0,-0.4
2026-01-13,3.0,-0.39999999999999997,23.0,-0.47391304347826096
2026-01-20,2.0,0.1,1.0,-0.7
2026-02-03,1.0,-0.8,0.0,
2026-02-10,0.0,,17.0,-0.5411764705882353
2026-02-17,1.0,-0.8,2.0,-0.7
2026-02-24,2.0,-0.15000000000000002,9.0,-0.37777777777777777
2026-03-03,3.0,-0.7666666666666666,88.0,-0.5227272727272726
2026-03-10,3.0,-0.26666666666666666,7.0,-0.14285714285714285
2026-03-17,0.0,,19.0,-0.3947368421052633
2026-03-24,0.0,,1.0,0.1
2026-03-31,1.0,-0.9,0.0,
2026-04-07,8.0,0.4375,4.0,0.14999999999999997
2026-04-14,1.0,0.1,1.0,0.1
2026-04-21,0.0,,1.0,0.1
2026-04-28,1.0,-0.6,0.0,
